dueDateTime,orderId,customer_id,orderPlacementDate,status,assignee,quantity,item_name,unit_price,days_until_due
30-07-2023,A74270364-fc220883-6a6e-4eec-b8a9-d5ea58d43c53,A56613925,2023-05-27T18:08:59.589Z,assigned,Laverne Koss,19,Stapler,60,59
17-06-2023,A74270364-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56613925,2023-05-27T18:08:59.589Z,assigned,Laverne Koss,53,"30"" Monitor",90,16
06-07-2023,A74270364-fd748d48-699d-4032-848a-e5a710e638df,A56613925,2023-05-27T18:08:59.589Z,assigned,Laverne Koss,19,Paper Shredder,100,35
19-06-2023,A74270364-c206b101-f8b3-4bbe-a1f4-c674dc3124c8,A56613925,2023-05-27T18:08:59.589Z,assigned,Laverne Koss,50,Paper Clips,30,18
06-07-2023,A73728056-15357af5-0273-465c-81d2-65777835407e,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,60,Multifunction Printer,110,35
29-07-2023,A73728056-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,24,"30"" Monitor",90,58
02-06-2023,A73728056-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,27,A4 Paper,20,1
01-07-2023,A73728056-bb6408d1-d9c3-43b7-b5c4-986239d8c426,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,47,Office Desk,40,30
05-07-2023,A73728056-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,55,Printer,80,34
08-07-2023,A73728056-fd748d48-699d-4032-848a-e5a710e638df,A56613925,2023-06-21T12:15:40.128Z,closed,Latoya Gulgowski,26,Paper Shredder,100,37
18-07-2023,A98415914-2876d968-98e4-4e20-92a9-4f9d45c3f7d4,A56613925,2023-05-24T04:03:54.217Z,assigned,Kristen Mohr,46,A4 Paper,20,47
26-06-2023,A98415914-6d3cbc43-887b-4d37-86a7-cc4246dcbdbe,A56613925,2023-05-24T04:03:54.217Z,assigned,Kristen Mohr,52,File Folders,70,25
21-06-2023,A98415914-e8b47bbe-990b-48a6-a7c6-d15732f85e06,A56613925,2023-05-24T04:03:54.217Z,assigned,Kristen Mohr,13,Printer,80,20
05-06-2023,A98415914-42d95fcf-a611-4f97-ba88-20e651645b96,A56613925,2023-05-24T04:03:54.217Z,assigned,Kristen Mohr,32,Office Chair,50,4
19-07-2023,A29336505-fb778d8b-9a3b-4cf2-8e6b-0b33746886f7,A56613925,2023-06-12T17:37:40.931Z,closed,Taylor Hilll,22,"30"" Monitor",90,48
